sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
He went on his date at 8:00 but then ended it early .,Alex had a date with his girlfriend at 8:00 .,His girlfriend was shocked to see them at a bar a few doors down.,He forgot about his date and agreed to meet a friend at 8:30 .,Alex did n't want to let either of them down .,"shocked,agreed,meet,forgot,let,see",friend,1.0,"shocked,agreed,meet,forgot,let,seefriend"
He asked his mom if he could play.,He took his sled.,He went down the hill.,He saw it snow outside.,[NEUTRAL] loved the snow .,"snow,loved,saw",loved,2.0,"snow,loved,sawloved"
[NEUTRAL] watched the storm from his back porch .,All of a sudden a bolt of lightning hit a tree about 50 yards away .,There was a loud crack.,It was thundering and lightning more than he had ever seen before.,The big limbs at the top of the tree came crashing to the ground.,"thundering,lightning,crashing,hit,seen","sudden, lightning, hit, tree, thundering, lightning, tree",0.0,"thundering,lightning,crashing,hit,seensudden, lightning, hit, tree, thundering, lightning, tree"
She walked faster and so did he.,[NEUTRAL] was walking to the store .,She noticed she was being followed by a creepy man in black.,She turned around and realized he was trying to return her lost phone!,"Suddenly, he started running after and yelling Something.","followed,yelling,return,noticed,realized,lost,turned,started,walking,running,trying","black, lost",1.0,"followed,yelling,return,noticed,realized,lost,turned,started,walking,running,tryingblack, lost"
[NEUTRAL] went on vacation .,[NEUTRAL] went to the Florida Keys .,[NEUTRAL] stumbled upon a free air conditioned museum and enjoyed it .,[NEUTRAL] camped out there .,[NEUTRAL] never used the air conditioner and was very hot .,"conditioned,stumbled,camped,enjoyed,used",hot,2.0,"conditioned,stumbled,camped,enjoyed,usedhot"
My cat was hit by a car.,I guess he has eight lives left now .,I picked him up from the vet this morning .,He's okay but he broke his leg.,He's expected to fully recover.,"recover,expected,'s,broke,picked,left","guess, broke",1.0,"recover,expected,'s,broke,picked,leftguess, broke"
It was cute and playful and small.,At first the [NEUTRAL] thought getting a puppy was a good idea .,Then it started growing and playing harder.,Now they're too afraid of it to let it out of the basement.,It won't let them call animal control and they don't know what to do.,"'re,growing,let,call,know,thought,started,playing","good, afraid",1.0,"'re,growing,let,call,know,thought,started,playinggood, afraid"
A lot of people showed up to watch.,The team has been very good this year .,They won by a ton of points .,The school football game was last weekend .,They have won a lot of games.,won,"good, football",2.0,"wongood, football"
He is always playing with them.,He even brings them when we go out to eat.,His birthday was coming up and I knew what to get him.,My nephew named [NEUTRAL] loves toy cars .,I got him a few new cars as a present.,"named,brings,knew,eat,loves","birthday, present",2.0,"named,brings,knew,eat,lovesbirthday, present"
June love the night more than the day .,She still loves the night .,She saw a doctor about this problem.,She could not understand why this was.,During the day she was more irritable and angry .,"understand,loves,saw","problem, irritable, angry",0.0,"understand,loves,sawproblem, irritable, angry"
He said he did not want her to close the door.,[NEUTRAL] had her boyfriend over to her family 's house .,He went in her room.,He opened it back up.,She closed the door.,"closed,opened",,2.0,"closed,opened"
George got glasses today .,He has to go to work in an hour and is nervous .,Within an hour of work he got three compliments on his glasses !,He thinks he looks ridiculous in his new glasses.,He walked into work with his head down so nobody will notice.,"notice,work,thinks,walked,looks","nervous, ridiculous",2.0,"notice,work,thinks,walked,looksnervous, ridiculous"
My wife made me a cake for my birthday.,I blew it out easily.,She only put one candle on it .,She said the cake wasn't big enough.,Asked her why there were n't fifty candles .,"Asked,blew,said,put",,2.0,"Asked,blew,said,put"
He ran as fast as he could.,He made the team and was happy!,He practiced every day .,He could catch well.,[NEUTRAL] wanted to make the football team .,"practiced,catch","happy, practiced, catch, football",0.0,"practiced,catchhappy, practiced, catch, football"
I wanted to help so I grabbed it.,One night my mother asked my brother to take out the trash .,No one told me there was broken glass in there.,The glass cut my leg.,I needed 13 Stitches that night .,"needed,asked","mother, trash, broken",0.0,"needed,askedmother, trash, broken"
"One day , he found a cat on the street .",Woods always loved pets cats.,He had always wanted one but his mom said no.,The cat was very hungry and small.,Woods fed it and he felt very happy.,"fed,felt,said,loved","loved, happy",2.0,"fed,felt,said,lovedloved, happy"
[NEUTRAL] lost his car keys .,He looked everywhere for them.,"He looked high and low, but could not find his keys.",He looked under his couch and behind his nightstand.,[NEUTRAL] eventually found his keys in his coat pocket .,looked,"couch, found",2.0,"lookedcouch, found"
Cletus decided to try out for the track team .,Cletus was the only one of his friends who was not an athlete .,"After weeks of practicing , he was accepted to the team .",He felt embarrassed that all of his friends were so athletic.,Cletus is very happy that he became athletic .,"embarrassed,accepted,became,felt",happy,2.0,"embarrassed,accepted,became,felthappy"
He didn't see the buck so he let the dog out to get it to be quiet.,Inside the house the little dog was barking like crazy.,The dog chased that buck all the way down the street.,The young buck stood on the doorstep eating flowers out of the pot.,[NEUTRAL] stopped painting to see what was going on .,"barking,painting,chased,stood,stopped,see,eating","like, crazy, buck, young, buck",2.0,"barking,painting,chased,stood,stopped,see,eatinglike, crazy, buck, young, buck"
I was in such a hurry to my appointment.,I saw a cop and tried to slow down.,Driving on the highway I was going 20 over the speed limit .,I got a $ 50 ticket and was late to my appointment .,"It was too late, he turned his lights on and pulled me over.","Driving,slow,pulled,turned,tried,saw","cop, late, late",2.0,"Driving,slow,pulled,turned,tried,sawcop, late, late"
Carly watched her grandpa eagerly.,Little shavings of wood fell to floor.,He had been carving Something for her for two weeks .,It was a little wooden bear all of her own!,"Finally, he smiled at her and held out his hands.","carving,smiled,held,Something,fell","fell, bear",2.0,"carving,smiled,held,Something,fellfell, bear"
[NEUTRAL] had to call his friends to help him out .,He parked his jeep on the sand.,The jeep got stuck in the sand .,[NEUTRAL] and his friends managed to get the jeep out of the sand .,[NEUTRAL] went to the beach .,"managed,parked,stuck",beach,2.0,"managed,parked,stuckbeach"
"AAA was taking forever , so [NEUTRAL] decided to change the tire herself .","[NEUTRAL] 's new husband got a flat tire , so he called AAA .",Her husband was surprised he could learn a few things from his wife.,Lauren arrived home from work two hours later .,"Lauren , feeling accomplished , cancelled the AAA call .","accomplished,cancelled,surprised,learn,arrived,feeling,called","surprised, feeling, accomplished",2.0,"accomplished,cancelled,surprised,learn,arrived,feeling,calledsurprised, feeling, accomplished"
"He seemed very tame and friendly , so we named him [NEUTRAL] .",We were leaving the house for a morning walk when we noticed a duck .,We now have a total of 19 ducks .,This little green and black duck was sitting on our front porch.,"After a month of feeding [NEUTRAL] , he showed up with 17 kids and a wife !","feeding,showed,noticed,sitting,leaving","green, black",2.0,"feeding,showed,noticed,sitting,leavinggreen, black"
"Today she bought [NEUTRAL] , which worked in the past .",He has a cough and a sore throat.,She hopes to get over the cold soon.,My wife caught a cold Sunday .,She took DayQuil and NightQuil .,"hopes,caught","cough, sore",2.0,"hopes,caughtcough, sore"
Nick wanted Something to do over the summer .,He found an old broken boat being given away for free.,Nick went to the boat 's location and picked it up .,"At the end of the summer , Nick had a great looking boat .",He then bought supplies and worked hard all summer long.,"picked,worked,given,looking","found, broken",2.0,"picked,worked,given,lookingfound, broken"
[NEUTRAL] had just arrived at school .,She saw that not a lot of people were there.,"Instead, she decided to go out and hang out with friends.",She was supposed to call her dad to pick her up.,She realized that today there was no school due to testing .,"supposed,testing,hang,realized,call,pick,saw",,1.0,"supposed,testing,hang,realized,call,pick,saw"
She spent so much time with her nieces and nephews.,She decided she needed a break.,They drove her crazy.,Aunt Becky use to be so calm .,She ran away to find peace.,"needed,drove,ran","break, crazy, peace",0.0,"needed,drove,ranbreak, crazy, peace"
"Knowing this, the bus driver still wanted me to get out.","After walking out, I became soaked from the rain.",I waited for the afternoon school bus to take me home .,I decided to wait in a store for the rain to clear up.,"When the bus arrived at my stop, outside was raining.","soaked,clear,raining,became,arrived,waited,wait,walking",,1.0,"soaked,clear,raining,became,arrived,waited,wait,walking"
Tabitha woke up late to work one morning .,She quickly matted it down and told everyone she was having a bad day .,She called ahead letting her boss know she was on her way.,Tabitha pulled in to her work and noticed she forgot to fix her hair.,She rushed around and got dressed.,"matted,dressed,rushed,fix,noticed,forgot,letting,pulled,called,know",bad,1.0,"matted,dressed,rushed,fix,noticed,forgot,letting,pulled,called,knowbad"
This morning I realized I had free time and wanted to meet a friend .,Then we hugged in the parking lot and went to our cars.,"Beth said yes , let 's meet at noon at Coffee Cann .",So [NEUTRAL] and I met and had a nice chat for forty - five minutes .,So I called my friend [NEUTRAL] and asked her to meet for coffee .,"hugged,met,meet,let,called,said,asked",friend,1.0,"hugged,met,meet,let,called,said,askedfriend"
They were having a contest to see who could be lazier.,"[NEUTRAL] agreed to make breakfast , so [NEUTRAL] [NEUTRAL] was winning .",[NEUTRAL] [NEUTRAL] was voluntold to go to the store to get milk .,"However, there was no milk to make pancakes.",[NEUTRAL] [NEUTRAL] and [NEUTRAL] were in bed on Sunday morning .,"voluntold,agreed,winning",winning,2.0,"voluntold,agreed,winningwinning"
Becky takes the kids to park to play.,The kids ask Becky to take them there.,They can't wait to go again.,They all have a fun time.,The family lives down the road from a park.,"lives,wait,ask",fun,2.0,"lives,wait,askfun"
