sentence1,sentence2,sentence3,sentence4,sentence5
[NEUTRAL] 's grandmother put mustard on the sandwich .,His grandmother fixed him a sandwich.,[NEUTRAL] was at his grandmother 's house .,He didn't eat the sandwich.,Tony did n't like mustard .
Her lock was new and weird so she called me for help.,She called me up and I changed the locks for her.,Callie couldn't figure out how the open the door.,Later that day [NEUTRAL] got stuck again !,I told [NEUTRAL] how to unlock the door and she was extremely grateful .
"Unfortunately, it didn't so he had his mom pick him up.",He was taking a test when his head began to hurt.,His teacher sent him to the nurse's office where he laid down.,The nurse hoped that laying down would help him feel better.,[NEUTRAL] was at school .
He loaded up his car and got ready to make the drive.,He couldn't wait for the game to start!,[NEUTRAL] was so excited he could n't sleep .,"When he arrived at the stadium, he quickly found his seat.",He 'd just gotten tickets to the World Series !
Matthew was not happy to be going shopping with his mother .,"His mother let him pick his first pet , a goldfish with black spots .","It was a new pet shop filled with mice, birds, and fish!",The grocery store was no fun but then they went next door.,"To a delighted Matthew , it was like a zoo ."
[NEUTRAL] loves to vacation at the beach every year .,Even to this day her car has sand everywhere in it .,[NEUTRAL] thinks of it as always having the beach close to her .,It has been several years since her last beach trip .,She is always tracking sound around everywhere.
"His mother explained that Mrs June was n't mean , just lonely .","[NEUTRAL] thought about it , and decided to be friendlier to Mrs June .","[NEUTRAL] was afraid of his mean , old neighbor , Mrs June .",It turned out she wasn't so scary after all!,[NEUTRAL] asked his mother why Mrs June was so mean .
He turned to get a rag to wipe up the spill.,"When he turned around , his two cats were lapping it up .",[NEUTRAL] tripped carrying a carton of milk .,He gave them a minute .,They seemed grumpy when he wiped up the spill.
"When [NEUTRAL] was driving back home , he felt Something was wrong .",[NEUTRAL] went to his friends house .,[NEUTRAL] remembered that he left his window unlocked .,"When he entered his room, he found his TV missing.",And he stayed there for a few days .
In there he met a girl who he liked.,One day he got an invite to a party .,[NEUTRAL] was really popular at his school .,He went to the party.,They became boyfriend and girlfriend.
Blaine is walking home .,A car is going to hit the puppy.,Blaine picks up the puppy.,Blaine sees a puppy in the street .,Blaine saved the puppy.
His friends were upset so they went home.,[NEUTRAL] invited his friends over to play a new board game .,Nobody had played this game before except [NEUTRAL] .,[NEUTRAL] won all night .,[NEUTRAL] realized he should have chosen a game that was fun for everyone .
She asked her mom if she could have a pink chair instead.,They went to the store and bought a beautiful pink paint.,"After it was painted , Amelia loved her new pink chair !",Amelia 's mom told her that they could paint the chair pink .,"Amelia had an old brown chair , but she wanted it to be pink ."
He had a good time,They even gave him gifts,He drank and ate a lot of food.,He had nothing else to do for christmas .,Jay went to his friends house for christmas .
I just made myself some popcorn as a snack.,The doorbell rang as soon as I sat down to eat.,It was my mailman delivering a package.,When I came back my popcorn bowl was empty and my son was laughing.,I guess I have to make more popcorn if I want my snack.
They ordered a twenty five foot rope online .,Her dad cut out a round seat with a hole in the middle.,Cabot asked her dad to put up a swing in the yard.,Now she swings so high it feels like flying.,They went out together and chose a tree to hang it from.
He asked his mom if he could get them.,[NEUTRAL] learned a lesson about keeping a promise .,[NEUTRAL] wanted a new pair of shoes .,Hi mom told him he would need to keep his room clean for a week .,[NEUTRAL] did n't keep his room clean and his mom did n't buy the shoes .
They decided it was worth it to fight ever again.,They always fought during recess.,The looked at each other and laughed.,One day the fight was exhausting for both of them .,[NEUTRAL] was enemies with another student .
[NEUTRAL] went to a store .,She told her to buy butter.,In the store she could not remember what the fourth thing was .,She had to call her mom.,Mom told her to buy four things .
[NEUTRAL] [NEUTRAL] his delicious shake and went home .,[NEUTRAL] looked at the menu to decide what he wanted .,He thought a milkshake would hit the spot.,[NEUTRAL] won his baseball game and wanted some ice cream to celebrate .,He went with his teammates to their favorite ice cream shoppe.
"His teacher said yes, it was time.",Lenny rode his bike with his friends at school .,When he arrived he put his things away.,Lenny was excited about school today .,He asked the teacher if it was time to take out the bikes.
The cat started purring when I left the room.,My wife was still asleep.,She jumped onto the bed when I left.,She loves my wife and was happy I was leaving.,I got up at 5:45 this morning .
The winters here are nice and warm and I love it .,I said I had enough about a year ago and moved to Florida .,I absolutely hate the cold winters .,I grew up in Chicago where it gets very cold .,I'm so glad I don't have to deal with the cold anymore.
The baby bird flew away.,The bird was in a tree.,The mother bird was teaching the baby bird.,Today I saw a baby bird .,She dropped the bird out of the nest.
"As he was playing with it, his nephew came running.",The tablet went crashing to the floor and the screen broke.,[NEUTRAL] got a new tablet for his birthday .,He had to figure out how to work it.,He knocked it out of [NEUTRAL] 's hand .
My friend used to own an old [NEUTRAL] [NEUTRAL] .,But it was a real beater.,"We don't know how he bought it, since he's always broke.","One time , he had to take it to the shop .","It was so beat up, he was advised to just buy a new car."
I dressed her with a bow on her head.,Princess won second prize for best looking dog .,A friend told me there was going to be a dog contest in our area.,I signed my dog Princess up for the contest.,"She was very behaved at the contest, when it was her turn."
Eventually he tripped.,[NEUTRAL] was upset because he loved watching TV .,The TV fell on the floor and broke.,One day [NEUTRAL] tried to move the TV .,He ended up buying a new one.
"Today, Damion planned to sleep in.",She laid out the clothes she wanted him to wear.,His wife had other plans and woke him up.,She brought Damion to a restaurant for his birthday.,He got dressed and ready for her plans.
But soon [NEUTRAL] will get tired .,He also loved to chase after birds.,[NEUTRAL] loved to go swimming in the lake .,There once was a dog named [NEUTRAL] .,"So he will go to bed, so he can be ready for another day of fun."
"Finally , after 90 minutes her and grandpa shared the cake she cooked .",[NEUTRAL] had no idea a light bulb would take so long to cook a cake .,[NEUTRAL] 's grandpa had given her an Easy Bake Oven .,[NEUTRAL] opened the box and saw all the little treat packets .,She mixed a cake and slid it in the oven.
[NEUTRAL] wanted to give her dad a tie for Christmas .,She cut up an old shirt and sewed it into a tie.,Then she decided to try to make it herself.,Her dad said it was the best tie he had ever owned!,But she had very little money!
